Suburb,Postcode,Lat,Lng,Domain_id,medianSoldPrice,numberSold,highestSoldPrice,lowestSoldPrice,medianSaleListingPrice,numberSaleListing,highestSaleListingPrice,lowestSaleListingPrice,auctionNumberAuctioned,auctionNumberSold,auctionNumberWithdrawn,daysOnMarket,medianRentListingPrice,numberRentListing,highestRentListingPrice,lowestRentListingPrice
Bailieston,3608,-36.7719697,145.1155133,2137,,,,,,,,,,,,,,,,
Bakery Hill,3350,-37.5691087,143.8563224,2167,,,,,,,,,,,,,,,,
Balaclava,3183,-37.8670566,144.9997396,2197,,,,,,,,,,,,,,,,
Bald Hills,3364,-37.3708363,143.9541563,2207,,,,,,,,,,,,,,,,
Ballan,3342,-37.6114047,144.215646,2247,,,,,,,,,,,,,,,,
Ballangeich,3279,-38.1923617,142.6279608,2267,,,,,,,,,,,,,,,,
Ballapur,3483,-35.9221523,142.8312661,2277,,,,,,,,,,,,,,,,
Ballarat East,3350,-37.5691087,143.8563224,2367,,,,,,,,,,,,,,,,
Ballarat North,3350,-37.5691087,143.8563224,2377,,,,,,,,,,,,,,,,
Ballendella,3561,-36.3317046,144.6533747,2417,,,,,,,,,,,,,,,,
Balliang,3340,-37.7356162,144.4123303,2427,,,,,,,,,,,,,,,,
Balliang East,3340,-37.7356162,144.4123303,2437,,,,,,,,,,,,,,,,
Ballyrogan,3375,-37.390738,143.1749726,2447,,,,,,,,,,,,,,,,
Balmoral,3407,-37.2543103,141.8100218,2467,,,,,,,,,,,,,,,,
Balnarring,3926,-38.3541527,145.1044805,2507,,,,,,,,,,,,,,,,
Balnarring Beach,3926,-38.3541527,145.1044805,2517,,,,,,,,,,,,,,,,
Balook,3971,-38.5613687,146.6065057,2537,,,,,,,,,,,,,,,,
Balwyn,3103,-37.8090918,145.0769045,2557,,,,,,,,,,,,,,,,
Balwyn North,3104,-37.7941151,145.0879338,2597,,,,,,,,,,,,,,,,
Bamawm,3561,-36.3317046,144.6533747,2607,,,,,,,,,,,,,,,,
Bamawm Extension,3564,-36.1149809,144.6314321,104217,,,,,,,,,,,,,,,,
Bambra,3241,-38.260588,143.9541563,2647,,,,,,,,,,,,,,,,
Bamganie,3333,-37.8585983,144.0194472,2657,,,,,,,,,,,,,,,,
Bangerang,3393,-36.2167744,142.4039296,2677,,,,,,,,,,,,,,,,
Bangholme,3175,-38.0191689,145.2148736,2687,,,,,,,,,,,,,,,,
Bannerton,3549,-34.7552395,142.7455935,2697,,,,,,,,,,,,,,,,
Bannockburn,3331,-37.9939081,144.1938221,2727,,,,,,,,,,,,,,,,
Banyan,3485,-35.6652195,142.7455935,2737,,,,,,,,,,,,,,,,
Banyena,3388,-36.6090828,142.6600232,2747,,,,,,,,,,,,,,,,
Baringhup,3463,-36.9483008,143.9759139,2817,,,,,,,,,,,,,,,,
Baringhup West,3463,-36.9483008,143.9759139,2827,,,,,,,,,,,,,,,,
Barkly,3384,-36.9882754,143.0888943,63607,,,,,,,,,,,,,,,,
Barkstead,3364,-37.3708363,143.9541563,2877,,,,,,,,,,,,,,,,
Barmah,3639,-35.9921604,145.005249,2897,,,,,,,,,,,,,,,,
Barnadown,3557,-36.6546373,144.5437205,2907,,,,,,,,,,,,,,,,
Barnawartha,3688,-36.1542047,146.7299747,2917,,,,,,,,,,,,,,,,
Barnawartha North,3691,-36.2373927,146.9661233,2937,,,,,,,,,,,,,,,,
Baromi,3871,-38.4049813,146.1812023,2957,,,,,,,,,,,,,,,,
Barrabool,3221,-38.1636337,144.1501922,2997,,,,,,,,,,,,,,,,
Barrakee,3525,-36.2125211,143.4338092,3007,,,,,,,,,,,,,,,,
Barraport,3537,-36.0772722,143.6935405,3027,,,,,,,,,,,,,,,,
Barraport West,3537,-36.0772722,143.6935405,3047,,,,,,,,,,,,,,,,
Barrys Reef,3458,-37.459275,144.3685809,3067,,,,,,,,,,,,,,,,
Barunah Park,3329,-37.9976266,143.88892,3077,,,,,,,,,,,,,,,,
Barunah Plains,3329,-37.9976266,143.88892,63617,,,,,,,,,,,,,,,,
Barwidgee,3737,-36.8466834,146.6962857,3087,,,,,,,,,,,,,,,,
Barwite,3722,-37.0313019,146.1365456,3107,,,,,,,,,,,,,,,,
Barwon Downs,3243,-38.4455968,143.8020236,3117,,,,,,,,,,,,,,,,
Barwon Heads,3227,-38.2498059,144.4232713,3127,,,,,,,,,,,,,,,,
Basalt,3460,-37.3405241,144.1610974,3137,,,,,,,,,,,,,,,,
Bass,3991,-38.4734903,145.4582381,3167,,,,,,,,,,,,,,,,
Batesford,3213,-37.9873525,144.2811537,104247,,,,,,,,,,,,,,,,
Bathumi,3730,-36.0520717,145.8913207,3197,,,,,,,,,,,,,,,,
Baw Baw,3833,-37.7865626,146.0696009,3247,,,,,,,,,,,,,,,,
Baw Baw Village,3833,-37.7865626,146.0696009,52107,,,,,,,,,,,,,,,,
Baxter,3911,-38.1972006,145.1762197,3267,,,,,,,,,,,,,,,,
Bayindeen,3375,-37.390738,143.1749726,3277,,,,,,,,,,,,,,,,
Bayles,3981,-38.1825837,145.5912693,3287,,,,,,,,,,,,,,,,
Baynton,3444,-37.1335012,144.5656396,3297,,,,,,,,,,,,,,,,
Baynton East,3444,-37.1335012,144.5656396,3307,,,,,,,,,,,,,,,,
Bayswater,3153,-37.8386354,145.2756505,3337,,,,,,,,,,,,,,,,
Bayswater North,3153,-37.8386354,145.2756505,3387,,,,,,,,,,,,,,,,
Beaconsfield,3807,-38.0347309,145.3862638,3417,,,,,,,,,,,,,,,,
Beaconsfield Upper,3808,-37.999986,145.4360858,3457,,,,,,,,,,,,,,,,
Bealiba,3475,-36.6942531,143.5202874,3467,,,,,,,,,,,,,,,,
Bearii,3641,-35.9078595,145.4471613,3487,,,,,,,,,,,,,,,,
Bears Lagoon,3517,-36.515547,143.8671868,3507,,,,,,,,,,,,,,,,
Beauchamp,3579,-35.7583662,143.8671868,3517,,,,,,,,,,,,,,,,
Beaufort,3373,-37.4528631,143.3474304,3537,,,,,,,,,,,,,,,,
Beaumaris,3193,-37.9809272,145.0328017,3547,,,,,,,,,,,,,,,,
Beeac,3251,-38.1418099,143.6718623,3567,,,,,,,,,,,,,,,,
Beech Forest,3237,-38.6505708,143.4554195,3577,,,,,,,,,,,,,,,,
Beechworth,3747,-36.3851254,146.6962857,3587,,,,,,,,,,,,,,,,
Beenak,3139,-37.8251456,145.5579927,3597,,,,,,,,,,,,,,,,
Belgrave,3160,-37.932935,145.3475331,3617,,,,,,,,,,,,,,,,
Belgrave Heights,3160,-37.932935,145.3475331,3627,,,,,,,,,,,,,,,,
Belgrave South,3160,-37.932935,145.3475331,3637,,,,,,,,,,,,,,,,
Bell Park,3215,-38.1083132,144.3357845,3647,,,,,,,,,,,,,,,,
Bell Post Hill,3215,-38.1083132,144.3357845,3657,,,,,,,,,,,,,,,,
Bellarine,3223,-38.1610488,144.6753231,3687,,,,,,,,,,,,,,,,
Bellbird Creek,3889,-37.609984,148.8289611,3707,,,,,,,,,,,,,,,,
Bellbrae,3228,-38.3419249,144.2374759,3727,,,,,,,,,,,,,,,,
Bellbridge,3691,-36.2373927,146.9661233,3737,,,,,,,,,,,,,,,,
Bellellen,3381,-37.1716807,142.5745556,63637,,,,,,,,,,,,,,,,
Bellfield,3081,-37.7417753,145.0438252,3787,,,,,,,,,,,,,,,,
Bellfield,3381,-37.1716807,142.5745556,3787,,,,,,,,,,,,,,,,
Bells Beach,3228,-38.3419249,144.2374759,3817,,,,,,,,,,,,,,,,
Belmont,3216,-38.1747227,144.3139277,3827,,,,,,,,,,,,,,,,
Bemm River,3889,-37.609984,148.8289611,3837,,,,,,,,,,,,,,,,
Bena,3946,-38.4506894,145.7245012,3847,,,,,,,,,,,,,,,,
Benalla,3672,-36.6181709,145.9804173,3897,,,,,,,,,,,,,,,,
Benambra,3900,-36.9009009,147.8708157,3927,,,,,,,,,,,,,,,,
Benayeo,3319,-36.8910613,141.0540674,3937,,,,,,,,,,,,,,,,
Bend of Islands,3097,-37.6897828,145.2369693,3947,,,,,,,,,,,,,,,,
Bendigo,3550,-36.7665875,144.2920769,3977,,,,,,,,,,,,,,,,
Benjeroop,3579,-35.7583662,143.8671868,4077,,,,,,,,,,,,,,,,
Benloch,3435,-37.2423687,144.7192376,4087,,,,,,,,,,,,,,,,
Bentleigh,3204,-37.9193526,145.0438252,4117,,,,,,,,,,,,,,,,
Bentleigh East,3165,-37.9174873,145.0658766,4127,,,,,,,,,,,,,,,,
Benwerrin,3235,-38.455233,143.9324048,4157,,,,,,,,,,,,,,,,
Beremboke,3342,-37.6114047,144.215646,4177,,,,,,,,,,,,,,,,
